Entrez Gene	AvgOfNGT_mm12_10591:CI2002061312AA	AvgOfNGT_mm14_10600:CI2002061814AA	AvgOfNGT_mm15_10664:CI2002061815AA	AvgOfNGT_mm20_10597:CI2002061820AA	AvgOfNGT_mm36_10178:CI2002061336AA	AvgOfNGT_mm37_10587:CI2002061837AA	AvgOfNGT_mm48_10080:CI2002061848AA	AvgOfNGT_mm50_10581:CI2002061350AA	AvgOfNGT_mm51_10588:CI2002061851AA	AvgOfNGT_mm53_10590:CI2002061853AA	AvgOfNGT_mm54_10571:CI2002061354AA	AvgOfNGT_mm57_10578:CI2002061857AA	AvgOfNGT_mm63_10589:CI2002061363AA	AvgOfNGT_mm64_10968:CI2002061864AA	AvgOfNGT_mm68_10586:CI2002061868AA	AvgOfNGT_mm74_10969:CI2002061874AA	AvgOfNGT_mm76_10748:CI2002061376AA	AvgOfIGT_mm25_10569:CI2002062125AA	AvgOfIGT_mm26_10158:CI2002061826AA	AvgOfIGT_mm33_10202:CI2002061833AA	AvgOfIGT_mm35_10220:CI2002061835AA	AvgOfIGT_mm38_10119:CI2002061838AA	AvgOfIGT_mm40_10188:CI2002061840AA	AvgOfIGT_mm52_10518:CI2002061852AA	AvgOfIGT_mm71_10519:CI2002061871AA	AvgOfDM2_mm03_10179:CI2002061803AA	AvgOfDM2_mm05_10189:CI2002061805AA	AvgOfDM2_mm07_10201:CI2002061807AA	AvgOfDM2_mm08_10204:CI2002061808AA	AvgOfDM2_mm10_10208:CI2002061810AA	AvgOfDM2_mm21_10126:CI2002061821AA	AvgOfDM2_mm28_10169:CI2002061828AA	AvgOfDM2_mm31_10186:CI2002061831AA	AvgOfDM2_mm32_10194:CI2002061832AA	AvgOfDM2_mm34_10212:CI2002061834AA	AvgOfDM2_mm39_10122:CI2002061839AA	AvgOfDM2_mm47_10210:CI2002061847AA	AvgOfDM2_mm55_10209:CI2002061855AA	AvgOfDM2_mm61_10197:CI2002061861AA	AvgOfDM2_mm62_10517:CI2002061862AA	AvgOfDM2_mm77_10131:CI2002061877AA	AvgOfDM2_mm81_10199:CI2002061881AA	AvgOfIGT_mm56_10503:CI2002061856AA
---	47.31	53.46	52.18	48.61	47.83	47.11	57.8	76.41	50.72	60.06	80.27	45.8	61.68	51.48	49.34	42.4	58.85	59.61	41.41	45.9	54.47	64.56	45.02	64.78	45.08	54.16	68.67	57.05	45.36	65.33	62.03	46.36	45.57	48.75	52.24	68.88	51.08	44.93	59.01	47.03	45.84	62.88	54.32
10	8.2	7.12	20.33	6.17	13.99	15.72	5.59	10.62	18.88	14.87	15.26	8.17	13.82	3.48	14.62	9.25	13.92	6.15	7.3	9.04	6.86	8.64	7.21	12.94	20.18	16.1	23.32	12.81	9.21	23.69	10.72	8.76	4.52	8.34	12.87	9.14	10.62	7.41	20.74	20.4	7.66	11.56	9.03
100	50.3	53.97	54.53	49.38	31.02	33.63	54.96	40.96	15.21	56.78	38.67	50.19	14.08	51.11	33.81	24.63	22.43	49.94	66.29	21.17	40.82	83.87	39.58	64.45	29.4	23.19	9.77	74.15	36.01	34.79	56.48	21.25	36.74	21.28	49.14	35.35	69.96	15.26	53.62	36.81	7.62	12.38	12.51
1000	51.05	45.81	35.76	10.01	38.55	31.8	51.86	44.69	36.44	45.07	47.12	30.12	35.63	21.87	24.25	38.66	38.23	52.69	30.66	59.24	59.49	18.64	24.2	43.52	27.34	46.54	39.27	18.82	26.5	56.47	30.51	30.68	37.78	40.51	42.3	72.41	29.27	28.01	34.72	24.57	27.57	49.5	38.34
10000	68.76	76.65	52.13	71.5	70.58	60.53	48.18	106.92	58.42	167.94	120.36	61.96	114.07	50.97	68.27	50.04	89.88	71.05	47.78	61.75	80.25	50.53	58.48	100.85	90.6	83.06	110.14	55.7	74.09	74.4	55.94	63.13	62.49	70.89	60.36	79.94	78.61	46.9	78.33	51.11	57.16	101.74	69.4
10001	34.13	35.61	30.39	30.09	42.56	51.38	19.35	15.09	39.88	14.07	6.55	25.54	6.81	25.7	55.35	49.6	24.77	18.21	76.46	31.06	40.78	19.42	68.61	8.91	44.55	13.08	4.39	18.28	47.68	16.64	13.48	42.35	39.45	13.44	28.8	17.92	26.18	47.82	9.85	44.16	28.87	5.9	22.81
10002	17.7	14.28	6.57	18.38	20.16	16.84	17.56	20.91	17.56	22.73	13.4	17.36	18.61	21.8	15.41	16.7	29.2	13.31	4.49	8.23	15.59	31.78	10.62	13.22	23.71	19.12	25.32	21.1	4.67	11.1	12.14	32.46	22.25	28.67	3.77	3.06	18.34	29.05	3.17	10.12	26.04	10.33	31.1
10003	4.7	12.39	12.77	1.6	20.48	1.84	2.6	2.11	3.6	1.74	0.98	1.09	1.52	19.19	1.78	3.46	22.07	12.4	1.32	4.57	1.81	9.66	1.61	2.27	1.24	3.19	2.78	13.67	2.45	16.65	1.53	1.44	1.54	1.19	1.54	16.61	2.02	15.47	1.38	0.72	23.78	10.46	7.92
10004	2.2	0.55	0.96	2.35	2.79	1.94	1.01	1.27	2.11	1.66	0.94	1.52	0.46	0.82	0.98	4.25	1.4	1.37	1.91	1.97	1.71	1.24	1.78	1.28	2.73	2.07	1.48	0.83	2.24	1.22	0.86	2.24	2.87	1.35	1.33	2.41	2.15	2.36	1.28	1.32	3.5	0.76	2.22
10005	68.2	96.71	79.94	114.6	28.25	100.7	11.96	78	69.69	123.2	74.91	74.69	79.93	59.21	84.89	92.86	97.06	78.99	98.89	97.25	64.99	94.69	117.8	82.91	81.23	70.14	137.9	60.06	59.28	81.08	86.15	66.3	84.12	21.41	96.93	73.76	119	99.23	92.86	90.87	153.9	55.21	61.21
